File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF000WCD	bam	alignments	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				1							ENCFF000WCS	346993327	Michael Snyder, Stanford	2c55b6b92555f0a1e03855e811d5fa4e		https://www.encodeproject.org/files/ENCFF000WCD/@@download/ENCFF000WCD.bam	hg19				archived	s3://encode-public/2012/07/01/7fce590c-424b-4a22-87bb-dcce28e92b1b/ENCFF000WCD.bam				
ENCFF000WCE	bigBed narrowPeak	peaks	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE											ENCFF001VFD	2479988	Michael Snyder, Stanford	39cf911e8eb944a2f68627b373520125		https://www.encodeproject.org/files/ENCFF000WCE/@@download/ENCFF000WCE.bigBed	hg19				archived	s3://encode-public/2012/07/01/e8aefb2a-0027-4a12-8bb7-0435a62169e7/ENCFF000WCE.narrowPeak.bigBed				
ENCFF000WCF	bam	alignments	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				2							ENCFF000WCR	339692845	Michael Snyder, Stanford	2323218579d55421356780a7f0511b94		https://www.encodeproject.org/files/ENCFF000WCF/@@download/ENCFF000WCF.bam	hg19				archived	s3://encode-public/2012/07/01/fca82793-c2ed-4ac4-b06e-fc67cc4ab19d/ENCFF000WCF.bam				
ENCFF000WCG	bigWig	signal	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE												283564516	Michael Snyder, Stanford	1236f63e87dd436f4a9177da341fa24b		https://www.encodeproject.org/files/ENCFF000WCG/@@download/ENCFF000WCG.bigWig	hg19				archived	s3://encode-public/2012/07/01/7b200494-b450-451d-a3fe-6b02f38b1365/ENCFF000WCG.bigWig				
ENCFF000WCR	fastq	reads	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				2	1	36		single-ended				885643130	Michael Snyder, Stanford	ae64ae7abbb3a0e74c71ed1bb7c45abd		https://www.encodeproject.org/files/ENCFF000WCR/@@download/ENCFF000WCR.fastq.gz			Illumina Genome Analyzer	/files/ENCFF000VWK/	released	s3://encode-public/2012/07/01/a89b5957-16d2-4f29-a611-e52e8bb332cc/ENCFF000WCR.fastq.gz				
ENCFF000WCS	fastq	reads	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				1	1	36		single-ended				615918418	Michael Snyder, Stanford	4ebdc94f635b6671e4d07c4cc894dfed		https://www.encodeproject.org/files/ENCFF000WCS/@@download/ENCFF000WCS.fastq.gz			Illumina Genome Analyzer	/files/ENCFF000VWD/	released	s3://encode-public/2012/07/01/b28c06f4-5e48-466c-b334-467f857ffac5/ENCFF000WCS.fastq.gz				
ENCFF001VFD	bed narrowPeak	peaks	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE												1296331	Michael Snyder, Stanford	1cb406eb16ab7f5477fbf240ef4313df		https://www.encodeproject.org/files/ENCFF001VFD/@@download/ENCFF001VFD.bed.gz	hg19				archived	s3://encode-public/2012/07/01/d38e9fbf-0112-48d5-9784-d491224a97fe/ENCFF001VFD.narrowPeak.gz				
ENCFF002CPI	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE												214705	ENCODE Consortium Analysis Working Group	f1588e9f5654438edefe7c3f56208975		https://www.encodeproject.org/files/ENCFF002CPI/@@download/ENCFF002CPI.bed.gz	hg19				archived	s3://encode-public/2014/06/06/69731358-4d74-4dd6-affd-72ac7c0a6363/ENCFF002CPI.narrowPeak.gz				
ENCFF703KJS	bigBed narrowPeak	optimal IDR thresholded peaks	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE											ENCFF002CPI	600498	ENCODE Consortium	62a3b723d073f88ee65bc2beacabe230		https://www.encodeproject.org/files/ENCFF703KJS/@@download/ENCFF703KJS.bigBed	hg19				archived	s3://encode-public/2015/06/02/97651788-29fd-4f3f-bb89-a517145e66af/ENCFF703KJS.bigBed				
ENCFF486RNZ	bam	unfiltered alignments	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				1			28				ENCFF000WCS, ENCFF643CGH	689233919	ENCODE Processing Pipeline	aa2e8ee3d40b62aede524ce38a0591e2		https://www.encodeproject.org/files/ENCFF486RNZ/@@download/ENCFF486RNZ.bam	GRCh38				released	s3://encode-public/2017/01/05/da9674a4-cd7a-420d-835a-901604aec686/ENCFF486RNZ.bam				
